video_id,title,filename,pub_date,assemblyai_transcript_id
XKrAucINd2c,Seeing the True Origin of Dukkha Cathal 8 01 12 24,2024-01-12-seeing-the-true-origin-of-dukkha-cathal-8-01-12-24.md,2024-01-12,2b1ba531-a773-4ac7-9203-84772b031004
a6f6czPNdmk,The Sangha UK 185 01 12 24,2024-01-12-the-sangha-uk-185-01-12-24.md,2024-01-12,7b91a515-8303-4491-991d-9a61fec56307
I9SgkJ1BDUQ,On Fear Tuomas 6 01 13 24,2024-01-13-on-fear-tuomas-6-01-13-24.md,2024-01-13,0c39f9a4-aea8-4d4a-a42b-65b9fdbe61a7
arCl01jZmmU,The Sangha US 99 01 13 24,2024-01-13-the-sangha-us-99-01-13-24.md,2024-01-13,95dc3431-c956-4139-911a-4455c8255942
4yY-dyF_r7w,Gerry 19 01 19 24,2024-01-19-gerry-19-01-19-24.md,2024-01-19,dfef3dd9-f9be-4b39-a2c8-0423e28fb463
F4EgRMAwHuI,Brady 3 01 21 24,2024-01-21-brady-3-01-21-24.md,2024-01-21,00aa96d1-5a5f-40be-a855-7fb7e04222ff
lwuQui2NUXE,The Sangha UK 186 01 21 24,2024-01-21-the-sangha-uk-186-01-21-24.md,2024-01-21,2541e62a-78d5-48d7-a867-5d7a0c222ebc
mzFCMkSEe5w,Guide to Being Safe Ivan 2 01 24 24,2024-01-24-guide-to-being-safe-ivan-2-01-24-24.md,2024-01-24,beec3f35-067a-4a89-a669-bdd239f86757
SnWTY4kI_gs,Confrontation Callum 9 01 25 24,2024-01-25-confrontation-callum-9-01-25-24.md,2024-01-25,55a4f5cb-603d-41de-8ca6-e1613233837d
zqJAeCUxPIo,Dhamma Dasa & DJ The Sangha UK 187 01 25 24,2024-01-25-dhamma-dasa---dj-the-sangha-uk-187-01-25-24.md,2024-01-25,e3795fce-6677-4d54-869e-830045ef530d
vRz54Gj3ysU,Peak Experiences The Sangha US 101 01 27 24,2024-01-27-peak-experiences-the-sangha-us-101-01-27-24.md,2024-01-27,33db87ff-2818-4ea4-8661-245d3ddc24e2
